NO.,CD,APN,Cnt_APN,ADDRESS,INTERSECTION,"LAND ""SQFT""",ACCESS,ZONING,TBpg,Topography,TYPE,STATUS,SOURCE OF FUNDS,est $/SF 3/08,Formula  3/08,"CLASS ""C"" 3/08",Remarks by Appraisal,Field_Checked,PHASE,SYNOPSIS COMMENTS
1,1,5135019900,1, 1431 Constance St.,Constance St./Venice Blvd.,0.98,Yes,RD1.5-1,634-B5,Level,SF,Front Yard,,,0,$25 ,Triangular.,Yes,2,Vacant - Small Sliver Parcel At North Corner of Lot 22.   Found a plastic tube with plastic cap covering.
2,1,5303026901,1,331 Avenue 52,Avenue 52/Griffin Ave.,53.24,Yes,R1-1,595-C4,Hillside,SF,Front Yard,,,0,$50 ,Generally rectangular.,Yes,2,Verify with Recreation & Parks Department (Ernest E. Debs Regional Park).  Small Sliver in front yard.
3,1,5304002901,1,,Montecito Dr./Sinova St.,1666.1,Yes,R1-1,595-B5,Hillside,SF,Entire side yard,,,0,"$5,000 ",Generally rectangular.,Yes,2,Vacant - Long Strip of Land between Latona Rd. and Montecito Dr.   Property is being utilized by a resident
4,1,5305015900,2,,Mercury Ave./Reynolds Ave.,273.72,Yes,R1-1,595-B6,Hillside,SR,Rear of property,,,0,$825 ,Generally rectangular.,No,2,Vacant - Landlocked
5,2,2215011900,1,13953 Valerio,Valerio St./Ranchito Ave.,777.74,Yes,R1-1,532-B4,Level,SF,Entire side lot,,3,2333,"$2,500 ",Generally rectangular.,Yes,1,
6,2,2238003901,1,6738 Hazeltine,Archwood St./Hazeltine Ave.,471.46,Yes,[Q]C2-1VL,532-B6,Level,SF,Entire side lot,,1,471,$500 ,Generally rectangular.,Yes,1,
7,2,2244001901,1,,Oxnard St./Vesper Ave.,321.1,Yes,R1-1,561-J1,Level,SF,Side yard,,3,963,"$1,000 ",Generally rectangular.,No,1,
8,2,2249024900,1,,Weddington St./Kester Ave.,250.65,Yes,[Q]R3-1,561-J2,Level,SF,Side of Lot,,1,251,$250 ,Generally rectangular.,Yes,1,
9,2,2327007910,1,,Hartland St./Atoll Ave.,2961.95,Yes,R3/R1-1,532-D5,Level,SF,Entire side lot line,,6.75,19993,"$20,000 ",Generally rectangular.,Yes,1,
10,2,2331022900,1,13044 Calvert,Calvert St./Ethel Ave.,424.79,Yes,R1-1,562-D1,Level,SF,Entire side lot line,,3,1274,"$1,300 ",Generally rectangular.,Yes,1,
11,2,2410020900,2,10755 Sherman Way,Sherman Way/Riverton Ave.,173.35,Yes,[Q]C2-1,532-A4,Level,SF,Commercial Property,,3,520,$500 ,Generally rectangular.,No,1,Alley for comercial property
12,2,2414003904,1,6181 Erwin St,Erwin St./Cleon Ave.,497.79,Yes,R1-1,533-A7,Level,SF,Block between prop and ROW,,3,1493,"$1,500 ",Generally rectangular.,No,1,"Driveway for multi properties <Landlocked behind -906; consider lot tie,locks  -010 & -009>"
13,2,2551041900,1,10906 McVine Avenue,McVine Ave./Graystone St.,1273.14,Yes,R1-1,503-G2,Hillside,SF,Entire side yard,,4,5093,"$5,000 ",Generally rectangular.,No,1,
14,2,2566016900,2,,Tujunga Canyon Blvd./Mountair Ave.,2938.04,Yes,R1-1,503-J3,Hillside,SF,,,3,8814,"$9,000 ",Generally rectangular.,Yes,1,
15,2,2568002901,1,"10008 N. Marcus Ave. Los Angeles, CA 91042",Marcus Ave./Tujunga Canyon Blvd.,629.11,Yes,RD3-1,504-B4,Hillside,SF,Front yard,,3,1887,"$2,000 ",Irregular.,No,1,
16,2,2571002901,1, 10014 Amanita Avenue,Day St./Amanita Ave.,2454.52,Yes,R1-1,504-C5,Hillside,SF,,,4,9818,"$10,000 ",Irregular.,Yes,1,
17,2,2215009900,1,,Matilija Ave./Valerio St.,1499.23,Yes,R1-1,532-B4,Level,SR,Used as Homeowner Property,,5,7496,"$7,500 ",Generally rectangular.,Yes,1,
18,2,2216002901,1,,Sherman Way/Hazeltine Ave.,2164.19,Yes,R1-1,532-B4,Level,SR,2 Backyards,,5,10821,"$10,000 ",Irregular.,Yes,1,
19,2,2216013901,1,,Murietta Ave./Hart St.,249.99,Yes,[Q]RD1.5-1,532-B5,Level,SR,Backyard,,3,750,$750 ,Generally rectangular.,Yes,1,
20,2,2239013900,1,,Murietta Ave./Calvert St.,485.76,Yes,R1-1,532-B7,Level,SR,Back corner of Property,,3,1457,"$1,500 ",Irregular.,Yes,1,
21,2,2304014900,1,,Willard St./Van Noord Ave.,2523.25,Yes,RS-1,532-E2,Level,SR,Strip along back lot lines,,3,7570,"$7,500 ",Generally rectangular.,Yes,1,
22,2,2377010900,1,,Canton Way/Canton Dr.,2478.49,Yes,RE15-1-H,562-H7,Hillside,SR,Back lot line,,3,7435,"$7,500 ",Irregular.,Yes,1,
23,2,2466031900,1,,Elkwood St./Clybourn Ave.,833.68,Yes,M1-1,533-A2,Level,SR,Off alley,,10,8337,"$8,000 ",Irregular.,Yes,1,
24,2,2542024900,1,,Orcas Ave./Stonehurst Ave.,1621.75,Yes,RA-1-K,503-A5,Hillside,SR,Stormdrain ??,,1,1622,"$1,500 ",Irregular.,Yes,1,
25,2,2542024901,1,,Helen Ave./Sunland Blvd.,4254.89,Yes,RA-1-K,503-A5,Hillside,SR,Stormdrain ??,,1,4255,"$4,000 ",Irregular.,Yes,1,
26,2,2559031900,1,,McGroarty St./Glenties Lane,2064.67,Yes,RE40-1,503-H4,Hillside,SR,Rear lot line,,1,2065,"$2,000 ",Generally rectangular.,Yes,1,
27,3,2024017900,1,,Maynard Ave./Sherman Way,315.9,Yes,A1-1,529-G4,Level,SF,Front Yard,,1,316,$300 ,Irregular.,Yes,1,
28,3,2024022900,1,,Vose St./Enadia Way,279.98,Yes,RS-1,529-J6,Level,SF,End of Cul-de-sac,,1,280,$300 ,Irregular.,Yes,1, Storm Drain Catch Basin that connects to channel
29,3,2074033900,1,,Almidor Ave./Heiss St.,403.29,Yes,RA-1,559-G4,Hillside,SF,Sliver - Parkway,,1,403,$400 ,Irregular.,Yes,1,Just East of 4705 Almidor Ave.
30,3,2074033901,1,4705 Almidor Ave.,Almidor Ave./Heiss St.,15,Yes,RA-1,559-G4,Hillside,SF,Sliver - Parkway,,1,15,$20 ,Generally rectangular.,No,1,
32,3,2103007900,1,,Baird Ave./Cantara St.,358.23,Yes,RS-1,530-J2,Level,SF,Side lot - full lenght,,1,358,$400 ,Generally rectangular.,No,1,
33,3,2108001902,1,,Irondale Ave./Cantara St.,994.06,Yes,RS-1,530-C2,Level,SF,Side Property,,3,2982,"$3,000 ",Irregular.,No,1,
34,3,2127002900,1,,Geyser Ave./Gilmore St.,90.01,Yes,R1-1,530-H6,Level,SF,Dead End Street,,1,90,$100 ,Generally rectangular.,No,1,
35,3,2128001901,1,,Kittridge St./Sylvia Ave.,89.94,Yes,R1-1,530-G6,Level,SF,Dead End Street,,1,90,$100 ,Generally rectangular.,Yes,1,
36,3,2128001902,1,,Kittridge St./Sylvia Ave.,90.05,Yes,R1-1,530-G6,Level,SF,Dead End Street,,1,90,$100 ,Generally rectangular.,Yes,1,
37,3,2129006900,1,,Hart St./Sylvia Ave.,81,Yes,R1-1,530-G5,Level,SF,Dead End Street,,1,81,$100 ,Generally rectangular.,Yes,1,
38,3,2129006901,1,,Hart St./Sylvia Ave.,81,Yes,R1-1,530-G5,Level,SF,Dead End Street,,1,81,$100 ,Generally rectangular.,No,1,
39,3,2134036900,1,,Victory Blvd./Friar St.,5849.81,Yes,R1-1,530-E7,Level,SF,Sell with deed restriction of no subdivision,,1,5850,"$6,000 ",Possible drainage channel.  Generally rectangular.,No,1,"PER 6/12/08 EMAIL FR. JANATHAN BRAND (CD3) ONLY SELL TO ONE ADJ. OWNER W/ DEED RESTRICTION (""COVENANT AND AGREEMENT TO RUN WITH THE LAND THAT PROP. 2 B HELD AS ONE PARCEL W/ PARCEL OWNED BY GRANTEE"".  OTHERWISE CAN SPLIT 1/2 SALE TO EA. ADJ. OWNER IF THEY"
40,3,2135025901,1,,Lubao Ave./Hart St.,675.23,Yes,R1-1,530-E5,Level,SF,Full Side Yard,,3,2026,"$2,000 ",Generally rectangular.,Yes,1,Space between home
41,3,2156001900,1,,Aetna St./Topham St.,150,Yes,RS-1,560-G1,Level,SF,Dead End Street,,1,150,$150 ,Generally rectangular.,Yes,1,
42,3,2121023901,1,,Gault St./Lindley Ave.,296.14,Yes,R1-1,531-A4,Level,SR,Sliver in Backyard,,3,888,$900 ,Generally rectangular.,No,1,
43,3,2161012905,1,,Wells Dr./Mecca Ave.,257.6,Yes,RA-1,560-H3,Hillside,SR,Sliver in Backyard,,3,773,$750 ,Generally rectangular.,No,1,
44,4,2415014901,1,,Willow Crest Ave./Oxnard St.,173.5,Yes,R3-1,563-B1,Level,SF,,,10,1735,"$1,700 ",Irregular.,No,1,Adjecent to DWP Coordor
45,4,2423035900,1,4029 Lankershim Blvd.,Lankershim Blvd./Cahuenga Blvd.,1002.78,Yes,C2-1,563-B5,Level,SF,<LACo MTA?>,,10,10028,"$10,000 ",Irregular.,Yes,1,Would not allow on property - Utilized by UPS     Contact Rick 717-3855
46,4,2425029900,1,,Bonnie Hill Dr./Adina Dr.,96.51,Yes,R1-1,563-C7,Hillside,SF,,,3,290,$300 ,Irregular.,Yes,1, Next to 3469 Bonnie Hill Drive
47,4,5425002900,1, 1514 Micheltorena Street,Micheltorena St./Hamilton Wy.,225,Yes,RD1.5-1VL,594-C5,Hillside,SF,entire side yard,,,0,$225 ,Generally rectangular.,Yes,2,
48,4,5438009900,1,,Lake View Ave./Adelbert Ave.,11.34,Yes,R2-1VL,594-E4,Hillside,SF,Sliver in front yard,,,0,$25 ,Irregular.,Yes,2,
49,4,5549014901,1,,Los Tilos Rd./La Presa Dr.,320.19,Yes,RE9-1,593-D3,Hillside,SF,Entire side yard,,,0,$960 ,Irregular.,Yes,2,Next to 6964 Los Tilos.  Took my best guess by house across street & trees.
50,4,5565016900,1,,Willow Glen Rd./Laurel Canyon Blvd.,46.96,Yes,RE40-1-H,592-J2,Hillside,SF,Sliver at front of property,,,0,$50 ,Triangular.,Yes,2,
51,4,5565023900,1,,Willow Glen Rd./Woodstock Rd.,227.48,Yes,RE11-1,592-J2,Hillside,SF,Sliver in front of property,,,0,$700 ,Irregular.,Yes,2,
52,4,5570030900,1,,Mulholland Dr./Laurel Canyon Blvd.,1229.12,Yes,RE11-1,592-J1,Hillside,SF,End of Block,,,0,"$3,700 ",Irregular.,Yes,2,901 adjoining this parcel 
53,4,5572011900,1,,Chelan Wy./Chelan Dr.,120.34,Yes,RE15-1-H,593-C3,Hillside,SF,Entire side lot line,,,0,$125 ,Irregular.,Yes,2,
54,4,5585005900,1,,Glen Oak/Beachwood Dr.,844.66,Yes,RD4-1XL,593-E2,Hillside,SF,Entire side lot line,,,0,"$2,550 ",Generally rectangular.,Yes,2,Drive way for 6129 Glen Oak taking a guess at their one.
55,4,2425018900,1,,Bonnie Hill Dr./Oakshire Dr.,315.12,Yes,RE15-1-H,593-B1,Hillside,SR,Back lot line,,,0,$950 ,Irregular.,No,2,
56,4,2425019900,1,,Oakley Dr./Oak Glen Dr.,2857.81,Yes,RE15-1-H,593-B1,Hillside,SR,Back lot line,,,0,"$8,575 ",Irregular.,No,2,
57,4,2425020901,2,,Bonnie Hill Dr./Ione Dr.,3885.12,Yes,RE15-1-H,563-C6,Hillside,SR,Back lot line,,3,11655,"$12,000 ",Generally rectangular.,Yes,1,
58,4,2429003900,1,,Ellington Dr./Adina Dr.,924.61,Yes,R1-1,593-C1,Hillside,SR,Black lot line,,,0,"$2,775 ",Generally rectangular.,No,2,
59,4,5576002900,1,,Lash Ln./Whitley Terr.,16.33,Yes,R1-1,593-F3,Hillside,SR,Sliver in corner,,,0,$25 ,Triangular.,No,2,
60,4,5580016900,1,,Lambert Dr./Hollyridge Dr.,267.81,Yes,R1-1,593-G1,Hillside,SR,Back lot line,,,0,$275 ,Generally rectangular.,No,2,
61,5,2182026900,1,,Coronet Dr./Alonzo Pl.,288.89,Yes,RA-1,561-A4,Hillside,SF,Property between yards,,3,867,$900 ,Generally rectangular.,No,1,
62,5,2246016901,1,,Califa St./Hazeltine Ave.,3298.21,Yes,R1-1,562-B1,Level,SF,Alley,,3,9895,"$10,000 ",Generally rectangular.,Yes,1,
63,5,2260018901,1,,Hartsook St./Valjean Ave.,2446.2,Yes,R1-1,561-E3,Level,SF,Sliver - several properties  SD??,,3,7339,"$7,500 ",Irregular.,Yes,1,
64,5,2274019900,1,"3967 N. Camino De La Cumbre Los Angeles, CA 91423",Camino De La Ronda/Camino De Solana,1945.46,Yes,RE15-1-H,562-A6,Hillside,SF,Long sliver,,3,5836,"$6,000 ",Generally rectangular.,Yes,1,
65,5,2274020900,1,,Camino De La Cumbre/Camino De La Ronda,1958.12,Yes,RE15-1-H,562-A6,Hillside,SF,Long sliver,,3,5874,"$6,000 ",Generally rectangular.,No,1,
66,5,2326014900,1,13118 Kittridge St,Tujunga Wash/Kittridge St.,1410.06,Yes,R1-1,532-D6,Level,SF,Entire side lot line,,3,4230,"$4,000 ",Generally rectangular.,Yes,1,Stormdrain to channel
67,5,2364014902,1,,Landale St./Rhodes Ave.,1349.96,Yes,R1-1,562-F4,Level,SF,Entire side lot line,,3,4050,"$4,000 ",Generally rectangular.,Yes,1, Alley
68,5,4371011900,2,"10522 W. Sandall Lane Los Angeles, CA 90077",Isadora Ln./Duluth Ln.,2885.44,Yes,RE15-1,592-A4,Hillside,SF,Entire side lot line -,,,0,"$8,700 ",Generally rectangular.,Yes,2,Private driveway 
69,5,4380005900,1,,Dellwood Ln./Elk Ln.,460.51,Yes,RE15-1,592-A3,Hillside,SF,Corner of property,,,0,"$1,400 ",Generally rectangular.,Yes,2,Dense Brush prevents conventional access.
70,5,5558028900,1,,Hillside Way/Hillside Ave.,42.43,Yes,R1-1,593-A4,Hillside,SF,Corner of front yard,,,0,$50 ,Irregular.,Yes,2, Storm Drain - Catch Basin
71,5,5567019900,1,,Jewett Dr./Elusive Dr.,376.48,Yes,R1-1,592-J3,Hillside,SF,,,,0,"$1,100 ",Irregular.,Yes,2,
72,5,2247012900,1,,Cumpston St./Costello Ave.,1979.48,Yes,R1-1,562-B2,Level,SR,Rear lot line,,,0,N/A,<NOT FOUND>,Yes,1,
73,5,2331028900,1,,Future Alley/Longridge Ave.,453.23,Yes,R1-1,562-D1,Level,SR,Back lot line,,1,453,$500 ,Generally rectangular.,Yes,1,
74,5,2357007902,1,,Whitsett Ave./Otsego St.,366.06,Yes,R1-1,562-E3,Level,SR,Rear lot line  several properties,,1,366,$400 ,Generally rectangular.,Yes,1,
75,5,4309003900,2,,Benedict Channel/Beverwil Dr.,1001.25,Yes,R1-1-O,632-G5,Hillside,SR,Rear corner of property,,,0,"$3,000 ",Triangular.,No,2,
76,5,5567004906,1,,Stanley Hills Dr./Lookout Mountain Ave.,1249.99,Yes,R1-1,592-J2,Hillside,SR,Rear of lot,,,0,"$3,800 ",Generally rectangular.,No,2,25' by 50' rear yard
77,5,5567014901,2,,Appian Way,68.61,Yes,R1-1,592-J3,Hillside,SR,Rear yard,,,0,$75 ,Irregular.,No,2,
78,5,5567022900,1,,Oakden Dr./Utica Dr.,389.69,Yes,R1-1,593-A3,Hillside,SR,,,,0,"$1,175 ",Triangular.,No,2,
79,5,5567024900,2,,Utica Dr./Weepah Way,625.8,Yes,R1-1,592-J3,Hillside,SR,Back lot line,,,0,"$1,875 ",Irregular.,No,2,
80,6,2215024900,1,14319 Valerio,Valerio St./Tyrone Ave.,825.02,Yes,R1-1,532-A4,Level,SF,Entire side lot,,3,2475,"$2,500 ",Generally rectangular.,No,1,
81,6,2217014900,1,"6961 Hazeltine Ave. Van Nuys, CA 91405",Hart St./Hazeltine Ave.,2675.87,Yes,[Q]RD1.5-1,532-B5,Level,SF,,,10,26759,"$25,000 ",Generally rectangular.,Yes,1,
82,6,2221011900,1,,Burnet Ave./Leadwell St.,819.26,Yes,R1-1,531-H4,Level,SF,Entire side lot  2 properties,,1,819,$800 ,Generally rectangular.,Yes,1,
83,6,2222002900,1,"7909 Sepulveda Blvd. Los Angeles, CA 91405",Sepulveda Blvd./Raymer St.,4198.06,Yes,M1-1,531-H3,Level,SF,Entire side lot,,5,20990,"$20,000 ",Generally rectangular.,Yes,1,
84,6,2237008900,1,19240 Lemay St,Lemay St./Katherine Ave.,4282.46,Yes,R1-1,532-B5,Level,SF,Entire side lot,,40,171298,"$170,000 ",Generally rectangular.,Yes,1,Driveway for three properties? <Consider selling as private street to four landlocked parcels>
85,6,2310013900,1,11965 Ratner,Ratner St./Gentry Ave.,524.99,Yes,R1-1,532-G3,Level,SF,Side of lot,,3,1575,"$1,500 ",Generally rectangular.,Yes,1, Stormdrain ROW?
86,6,2624005901,1,9907 Tamarack Ave,Tamarack Ave./Wingo St.,343.48,Yes,R1-1,502-E5,Level,SF,Front corner of lot,,3,1030,"$1,000 ",Irregular.,Yes,1,
87,6,2645008900,1,9818 Arleta,Arleta Ave./Terra Bella St.,310.16,Yes,R1-1,502-C5,Level,SF,Entire side lot line,,3,930,"$1,000 ",Generally rectangular.,Yes,1,
88,6,2654037902,1,,Lanark St./Langdon Ave.,3168.85,Yes,R3-1,531-H2,Level,SF,Side yard,,10,31688,"$30,000 ",Irregular.,Yes,1,Single adjoining owner appears to currently landscape and maintain
89,6,2224026900,1,,Woodley Ave./Bassett St.,3786.29,Yes,R1-1,531-F5,Level,SR,Back Lot line - entire block,,0.25,947,"$1,000 ",Generally rectangular.,No,1,
90,6,2225023900,1,,Balboa Blvd./Hart St.,499.98,Yes,R1-1,531-D5,Level,SR,Back lot line,,3,1500,"$1,500 ",Generally rectangular.,Yes,1,
91,6,2242001900,3,,Blucher Ave./Erwin St.,1165.1,Yes,PF-1XL,531-H7,Level,SR,Strip next to FWY,,3,3495,"$3,500 ",Irregular.,No,1,
92,6,2409016902,2,,Lull St./Riverton Ave.,2609.42,Yes,R1-1,532-A3,Level,SR,Entire block - back lot line,,1,2609,"$2,500 ",Generally rectangular.,Yes,1,
93,7,2648006901,2,14842 Clymer St,Clymer St./Kestler Ave.,5663.97,Yes,RS-1-O,501-J3,Level,SF,"Front, side and rear",,1,5664,N/A,<NOT FOUND>,No,1,
94,8,5024018903,1,,Crenshaw Blvd./43rd Pl.,840.22,Yes,[Q]C1.5-1,673-F3,Level,SF,Entire side lot line,,10,8402,"$8,000 ",Generally rectangular.,Yes,3,Walking alley-REMOVE FROM OPLA PER 5/7/08 EMAIL FR. DAVID R.(CD8)=THIS IS 2 B PART OF VISION THEATER PARCEL.
95,8,5034003900,2,,Martin Luther King Jr. Blvd./Westside A,5067.95,Yes,R1-1,673-F2,Level,SF,Entire side lot,,3,15204,"$15,000 ",Generally rectangular.,Yes,3,
96,8,5034004900,2,,Martin Luther King Jr. Blvd./Welland Av,5443.59,Yes,R1-1,673-F2,Level,SF,Entire side lot,,3,16331,"$16,000 ",Generally rectangular.,Yes,3,
97,8,5034007900,2,,Martin Luther King Jr. Blvd./Hepburn Av,5773.55,Yes,R1-1,673-F2,Level,SF,Entire side lot,,3,17321,"$17,000 ",Generally rectangular.,Yes,3,
98,8,5034008900,2,,Martin Luther King Jr. Blvd./6th Ave.,5840.31,Yes,R1-1,673-F2,Level,SF,Entire side lot,,3,17521,"$18,000 ",Generally rectangular.,Yes,3,
99,8,6002030903,1,"6312 S. Western Ave. Los Angeles, CA 90047",Gage Ave./Western Ave.,1452.64,Yes,C2-1VL,673-H6,Level,SF,Side lot,,10,14526,"$15,000 ",Irregular.,Yes,3,
100,8,4006023900,1,,Bryhurst Ave./71st St.,72.42,Yes,MR1-1VL,673-F7,Level,SR,Sliver in back of lot,,10,724,$750 ,Triangular.,No,3,
